SQL_SignatoryStateId,API_SignatoryStateId,SQL_Id,API_Id,SQL_AddressName,API_AddressName,SQL_AddressLine1,API_AddressLine1,SQL_AddressLine2,API_AddressLine2,SQL_AddressLine3,API_AddressLine3,SQL_StateOrCounty,API_StateOrCounty,SQL_City,API_City,SQL_Country,API_Country,SQL_PostCode,API_PostCode,SQL_PrimaryAddress,API_PrimaryAddress,SQL_isThePrimaryAddress,API_isThePrimaryAddress,Test Case Status
705,705,737,737,HM Government of Gibraltar,HM Government of Gibraltar,Gibraltar Maritime Administration,Gibraltar Maritime Administration,2/8 Watergate House ,2/8 Watergate House ,,,,,Casemates Square,Casemates Square,GIBRALTAR,GIBRALTAR,GX11 1AA,GX11 1AA,false,false,False,false,Test Case Passed
704,704,729,729,The Maritime Authority of the Cayman Islands,The Maritime Authority of the Cayman Islands,3rd Floor  Government Administration Building,3rd Floor  Government Administration Building,133 Elgin Avenue  PO Box 2256,133 Elgin Avenue  PO Box 2256,,,,,Grand Cayman,Grand Cayman,CAYMAN ISLANDS,CAYMAN ISLANDS,KY1-1107,KY1-1107,false,false,False,false,Test Case Passed
703,703,726,726,Direcao-Geral de Recursos Naturiais,Direcao-Geral de Recursos Naturiais,Seguranca e Servicos Marítimos,Seguranca e Servicos Marítimos,Avenida Brasília,Avenida Brasília,,,,,1449-030 Lisboa,1449-030 Lisboa,PORTUGAL,PORTUGAL,,,false,false,False,false,Test Case Passed
702,702,725,725,Direcao-Geral de Recursos Naturiais,Direcao-Geral de Recursos Naturiais,Seguranca e Servicos Maritimos,Seguranca e Servicos Maritimos,Avenida Brasilla,Avenida Brasilla,,,,,1499-030 Lisboa,1499-030 Lisboa,PORTUGAL,PORTUGAL,,,false,false,False,false,Test Case Passed
701,701,722,722,Services du Register International,Services du Register International,Francais RIF,Francais RIF,21 rue de la republique,21 rue de la republique,13002,13002,,,MARSEILLE,MARSEILLE,FRANCE,FRANCE,,,false,false,False,false,Test Case Passed
699,699,720,769,Ministry of Transport of the Peoples Republic of China,Bureau of Fisheries ,No.11 Jianguomen Inner Street,Ministry of Agriculture and Rural Affairs ,,P.R.China,,No.11 Nongzhan Nanli ,,,Beijing,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,100736,100125,false,false,False,false,Test Case failed
699,699,724,769,Xiamen Maritime Safety Administration of the People's Republic of China,Bureau of Fisheries ,No.19  Haicang Av.,Ministry of Agriculture and Rural Affairs ,Xiamen,P.R.China,,No.11 Nongzhan Nanli ,,,Fujian,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
699,699,740,769,Shanghai Maritime Bureau of the People’s Republic of China,Bureau of Fisheries ,Maritime Building ,Ministry of Agriculture and Rural Affairs ,No. 190  Siping Road,P.R.China,,No.11 Nongzhan Nanli ,,,Shanghai 200086,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
699,699,747,769,Guangzhou Maritime Safety Administration of the Peoples Republic of China,Bureau of Fisheries ,# 520 Binjiang Road East,Ministry of Agriculture and Rural Affairs ,Haizhu District,P.R.China,,No.11 Nongzhan Nanli ,,,Guangzhou,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
699,699,748,769,Guangdong Maritime Safety Administration of the People’s Republic of China,Bureau of Fisheries ,No.47 Yi Le Road,Ministry of Agriculture and Rural Affairs ,,P.R.China,,No.11 Nongzhan Nanli ,,,Guangzhou ,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
699,699,752,769,ZHOUSHAN MARITIME SAFETY ADMINISTRATION OF PEOPLE’S REPUBLIC OF CHINA,Bureau of Fisheries ,NO. 368 HUANGCHENG SOUTH ROAD,Ministry of Agriculture and Rural Affairs ,DINGHAI DISTRICT,P.R.China,,No.11 Nongzhan Nanli ,,,ZHOUSHAN,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
699,699,757,769,Ningbo,Bureau of Fisheries ,Ningbo Maritime Safety Administration of People's Republic of China,Ministry of Agriculture and Rural Affairs ,No.351 Renmin Road,P.R.China,Jiangbei District,No.11 Nongzhan Nanli ,,,Ningbo,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
699,699,769,769,Bureau of Fisheries ,Bureau of Fisheries ,Ministry of Agriculture and Rural Affairs ,Ministry of Agriculture and Rural Affairs ,P.R.China,P.R.China,No.11 Nongzhan Nanli ,No.11 Nongzhan Nanli ,,,Beijing ,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,100125,100125,false,false,False,false,Test Case Passed
699,699,822,769,ZheJiang Maritime Safety Administration of People’s Republic of China,Bureau of Fisheries ,No.1 Yeqingdou Road ,Ministry of Agriculture and Rural Affairs ,Gongshu District  ,P.R.China,,No.11 Nongzhan Nanli ,,,Hangzhou ,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
699,699,823,769,Shenzhen Maritime Safety Administration,Bureau of Fisheries ,Haian Centre ,Ministry of Agriculture and Rural Affairs ,2031 Binhe Road ,P.R.China,,No.11 Nongzhan Nanli ,,,Shenzhen,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
699,699,835,769,Qingdao Maritime Safety Administration,Bureau of Fisheries ,No.1  Ningbo Road,Ministry of Agriculture and Rural Affairs ,Shibei District,P.R.China,,No.11 Nongzhan Nanli ,,,Qingdao  Shandong,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,266011,100125,false,false,False,false,Test Case failed
699,699,829,769,Nanjing Maritime Safety Administration of the People’s Republic of China,Bureau of Fisheries ,No.238 Central Road,Ministry of Agriculture and Rural Affairs ,,P.R.China,,No.11 Nongzhan Nanli ,,,  Nanjing 210009,Beijing ,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,100125,false,false,False,false,Test Case failed
698,698,718,718,Directorate General of Sea Communications ,Directorate General of Sea Communications ,Jl. Merdeka Barat No.8,Jl. Merdeka Barat No.8,,,,,,,Jakarta Pusat,Jakarta Pusat,INDONESIA,INDONESIA,10110,10110,false,false,False,false,Test Case Passed
697,697,717,717,Directorate General of Sea Communications ,Directorate General of Sea Communications ,Jl. Merdeka Barat No.8,Jl. Merdeka Barat No.8,,,,,,,Jakarta Pusat,Jakarta Pusat,INDONESIA,INDONESIA,10110,10110,false,false,False,false,Test Case Passed
696,696,716,759,Zhejiang Bureau of Fishing Port Superintendence P.R.C.,Ningbo,No. 102 Tian Mu Shan Road ,Ningbo Maritime Safety Administration of People's Republic of China,Xihu District ,No.351 Renmin Road,,Jiangbei District,,, Hangzhou City  Zhejiang Province  P.R.C.,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,,false,false,False,false,Test Case failed
696,696,759,759,Ningbo,Ningbo,Ningbo Maritime Safety Administration of People's Republic of China,Ningbo Maritime Safety Administration of People's Republic of China,No.351 Renmin Road,No.351 Renmin Road,Jiangbei District,Jiangbei District,,,Ningbo,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,,false,false,False,false,Test Case Passed
696,696,754,759,ZHOUSHAN MARITIME SAFETY ADMINISTRATION OF PEOPLE’S REPUBLIC OF CHINA,Ningbo,NO. 368 HUANGCHENG SOUTH ROAD,Ningbo Maritime Safety Administration of People's Republic of China,DINGHAI DISTRICT,No.351 Renmin Road,,Jiangbei District,,,ZHOUSHAN,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,,false,false,False,false,Test Case failed
696,696,837,759,Qingdao Maritime Safety Administration,Ningbo,No.1  Ningbo Road,Ningbo Maritime Safety Administration of People's Republic of China,Shibei District,No.351 Renmin Road,,Jiangbei District,,,Qingdao  Shandong,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,266011,,false,false,False,false,Test Case failed
695,695,836,758,Qingdao Maritime Safety Administration,Ningbo,No.1  Ningbo Road,Ningbo Maritime Safety Administration of People's Republic of China,Shibei District,No.351 Renmin Road,,Jiangbei District,,,Qingdao  Shandong,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,266011,,false,false,False,false,Test Case failed
695,695,821,758,ZheJiang Maritime Safety Administration of People’s Republic of China,Ningbo,No.1 Yeqingdou Road ,Ningbo Maritime Safety Administration of People's Republic of China,Gongshu District  ,No.351 Renmin Road,,Jiangbei District,,,Hangzhou  ,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,,false,false,False,false,Test Case failed
695,695,753,758,ZHOUSHAN MARITIME SAFETY ADMINISTRATION OF PEOPLE’S REPUBLIC OF CHINA,Ningbo,NO. 368 HUANGCHENG SOUTH ROAD,Ningbo Maritime Safety Administration of People's Republic of China,DINGHAI DISTRICT,No.351 Renmin Road,,Jiangbei District,,,ZHOUSHAN,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,,false,false,False,false,Test Case failed
695,695,758,758,Ningbo,Ningbo,Ningbo Maritime Safety Administration of People's Republic of China,Ningbo Maritime Safety Administration of People's Republic of China,No.351 Renmin Road,No.351 Renmin Road,Jiangbei District,Jiangbei District,,,Ningbo,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,,false,false,False,false,Test Case Passed
