SQL_ApplicationId,SQL_TransactionId,API_TransactionId,SQL_Workflowid,API_Workflowid,SQL_DisplayName,API_DisplayName,SQL_StartDate,API_StartDate,SQL_EndDate,API_EndDate,SQL_AppliedDate,API_AppliedDate,SQL_TransactionStatus,API_TransactionStatus,SQL_TransactionSequence,API_TransactionSequence,SQL_TransactionSubTypeOtherDescription,SQL_TransactionSubTypeOtherDescription,SQL_ReasonForChange,API_ReasonForChange,Status
76100,274808,274808,327D2511-0851-46C3-B1D8-F5CD5B111BB4,327d2511-0851-46c3-b1d8-f5cd5b111bb4,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76099,274807,274807,ED3F7BD2-F43F-4DA0-8D70-3C7B7AFD9ECB,ed3f7bd2-f43f-4da0-8d70-3c7b7afd9ecb,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76098,274799,274799,766B151F-43D6-457A-A1C0-BCFE823CDF12,766b151f-43d6-457a-a1c0-bcfe823cdf12,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,2021-01-19 14:33:30.6010098 +00:00,2021-01-19T14:33:30.6010098+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76097,274798,274798,2C5186A6-4771-4183-8790-799CB4C32D86,2c5186a6-4771-4183-8790-799cb4c32d86,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-17 12:00:00 +00:00,2020-12-17T12:00:00+00:00,2021-12-17 12:00:00 +00:00,2021-12-17T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76096,274797,274797,9FC14FF6-FDDE-4598-A35F-7FAB23351F91,9fc14ff6-fdde-4598-a35f-7fab23351f91,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-17 12:00:00 +00:00,2020-12-17T12:00:00+00:00,2021-12-17 12:00:00 +00:00,2021-12-17T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76095,274792,274792,2599CE16-C45C-48C2-B6CB-C248328A63EC,2599ce16-c45c-48c2-b6cb-c248328a63ec,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-17 12:00:00 +00:00,2020-12-17T12:00:00+00:00,2021-12-17 12:00:00 +00:00,2021-12-17T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76093,274781,274781,AF7E23A4-B7D6-4FF1-8F09-7351E2285CBD,af7e23a4-b7d6-4ff1-8f09-7351e2285cbd,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-14 12:00:00 +00:00,2020-12-14T12:00:00+00:00,2021-12-14 12:00:00 +00:00,2021-12-14T12:00:00+00:00,2020-12-14 12:17:16.0956549 +00:00,2020-12-14T12:17:16.0956549+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76092,274778,274778,77D35AFC-E826-4A13-BEFF-2F7599AFFCE9,77d35afc-e826-4a13-beff-2f7599affce9,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-14 12:00:00 +00:00,2020-12-14T12:00:00+00:00,2021-12-14 12:00:00 +00:00,2021-12-14T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76088,274761,274761,F15D0CDC-EE7E-4FCD-8093-02E631A3FACF,f15d0cdc-ee7e-4fcd-8093-02e631a3facf,QUOTETRANSACTION,QUOTETRANSACTION,2020-10-01 12:00:00 +00:00,2020-10-01T12:00:00+00:00,2021-10-01 12:00:00 +00:00,2021-10-01T12:00:00+00:00,2020-12-11 12:03:06.6433274 +00:00,2020-12-11T12:03:06.6433274+00:00,Not Taken Up,Not Taken Up,1,1,null,null,null,null,Test Case Passed
76088,274764,274764,2B07EC71-60F2-43DF-BB2F-431985A6727F,2b07ec71-60f2-43df-bb2f-431985a6727f,QUOTETRANSACTION,QUOTETRANSACTION,2020-10-01 12:00:00 +00:00,2020-10-01T12:00:00+00:00,2021-10-01 12:00:00 +00:00,2021-10-01T12:00:00+00:00,2020-12-11 12:07:02.1574066 +00:00,2020-12-11T12:07:02.1574066+00:00,Bound,Bound,2,2,null,null,null,null,Test Case Passed
76086,274758,274758,D4988865-1850-4CE6-89E1-BDBFE884802B,d4988865-1850-4ce6-89e1-bdbfe884802b,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2020-12-09 13:48:40.6319772 +00:00,2020-12-09T13:48:40.6319772+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76084,274747,274747,0B7F5C7E-1EBD-48AC-9B7C-16A5B80BF733,0b7f5c7e-1ebd-48ac-9b7c-16a5b80bf733,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2020-12-09 11:57:37.0010027 +00:00,2020-12-09T11:57:37.0010027+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76082,274741,274741,03D9E1B1-7AA9-4ECF-A523-CF4FB5D8AF80,03d9e1b1-7aa9-4ecf-a523-cf4fb5d8af80,QUOTETRANSACTION,QUOTETRANSACTION,2020-10-01 12:00:00 +00:00,2020-10-01T12:00:00+00:00,2021-10-01 12:00:00 +00:00,2021-10-01T12:00:00+00:00,2020-12-09 09:23:39.7442438 +00:00,2020-12-09T09:23:39.7442438+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
