SQL_ApplicationId,SQL_TransactionId,API_TransactionId,SQL_Workflowid,API_Workflowid,SQL_DisplayName,API_DisplayName,SQL_StartDate,API_StartDate,SQL_EndDate,API_EndDate,SQL_AppliedDate,API_AppliedDate,SQL_TransactionStatus,API_TransactionStatus,SQL_TransactionSequence,API_TransactionSequence,SQL_TransactionSubTypeOtherDescription,SQL_TransactionSubTypeOtherDescription,SQL_ReasonForChange,API_ReasonForChange,Status
76146,274961,274961,D08F8DBD-4904-44B3-B44E-B593CC2EAF35,d08f8dbd-4904-44b3-b44e-b593cc2eaf35,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,2021-01-27 11:07:36.0263106 +00:00,2021-01-27T11:07:36.0263106+00:00,Not Taken Up,Not Taken Up,1,1,null,null,null,null,Test Case Passed
76146,275032,275032,FCF35196-003C-40B1-9A45-AB8808473B3B,fcf35196-003c-40b1-9a45-ab8808473b3b,QUOTETRANSACTION,QUOTETRANSACTION,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2022-01-01 12:00:00 +00:00,2022-01-01T12:00:00+00:00,2021-01-27 12:21:48.5871877 +00:00,2021-01-27T12:21:48.5871877+00:00,Bound,Bound,3,3,null,null,null,null,Test Case Passed
76144,274951,274951,7F45D65A-D2A7-4FE3-83A7-3A9D9DD8E22C,7f45d65a-d2a7-4fe3-83a7-3a9d9dd8e22c,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-15 10:03:55.3894225 +00:00,2021-01-15T10:03:55.3894225+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76142,274940,274940,DD89BA16-D9F1-4EEF-95BE-41924DC12F7E,dd89ba16-d9f1-4eef-95be-41924dc12f7e,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,2021-01-15 06:54:14.9298742 +00:00,2021-01-15T06:54:14.9298742+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76140,274930,274930,891FBE2A-94DE-4E88-B4D9-0F97BD993DDA,891fbe2a-94de-4e88-b4d9-0f97bd993dda,QUOTETRANSACTION,QUOTETRANSACTION,2020-12-01 12:00:00 +00:00,2020-12-01T12:00:00+00:00,2021-12-01 12:00:00 +00:00,2021-12-01T12:00:00+00:00,2021-01-07 18:01:31.5556786 +00:00,2021-01-07T18:01:31.5556786+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76138,274915,274915,1DED75F4-B35F-46FB-84C0-7E0CF4658480,1ded75f4-b35f-46fb-84c0-7e0cf4658480,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,2021-01-07 07:43:14.035945 +00:00,2021-01-07T07:43:14.035945+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76136,274906,274906,3AEEE4FD-2C0B-49FB-8186-23860C551C5A,3aeee4fd-2c0b-49fb-8186-23860c551c5a,QUOTETRANSACTION,QUOTETRANSACTION,2020-10-10 12:00:00 +00:00,2020-10-10T12:00:00+00:00,2021-01-01 12:00:00 +00:00,2021-01-01T12:00:00+00:00,2021-01-06 15:42:14.1933296 +00:00,2021-01-06T15:42:14.1933296+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76131,274892,274892,39710A02-F077-4B06-B86B-EB6D7AB7B834,39710a02-f077-4b06-b86b-eb6d7ab7b834,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,2021-01-06 08:56:05.2476176 +00:00,2021-01-06T08:56:05.2476176+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76130,274891,274891,44FBCA8B-6429-4311-86B1-7DF8C6F3AA56,44fbca8b-6429-4311-86b1-7df8c6f3aa56,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,2021-01-06 08:56:04.1463955 +00:00,2021-01-06T08:56:04.1463955+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76129,274890,274890,3F538F89-37B8-4D6F-9A78-EA24C7D5BF29,3f538f89-37b8-4d6f-9a78-ea24c7d5bf29,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76128,274889,274889,B1C8A246-9E01-458A-8921-8D10CF636D30,b1c8a246-9e01-458a-8921-8d10cf636d30,RENEWALQUOTETRANSACTION,RENEWALQUOTETRANSACTION,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2022-11-01 12:00:00 +00:00,2022-11-01T12:00:00+00:00,null,null,In Progress,In Progress,1,1,null,null,null,null,Test Case Passed
76126,274885,274885,A5F0901C-E743-450C-8AFD-A0DEC709E451,a5f0901c-e743-450c-8afd-a0dec709e451,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 19:40:09.6847045 +00:00,2021-01-05T19:40:09.6847045+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76124,274882,274882,00E8E911-41F1-4563-B72F-09739A2E8733,00e8e911-41f1-4563-b72f-09739a2e8733,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 19:33:53.5043602 +00:00,2021-01-05T19:33:53.5043602+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76122,274876,274876,5AB70BCF-1E1D-4D0D-8CE9-9C70A564EFC5,5ab70bcf-1e1d-4d0d-8ce9-9c70a564efc5,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 19:07:43.1110945 +00:00,2021-01-05T19:07:43.1110945+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76120,274869,274869,FDEF0D99-9CAD-42F1-8089-9BC442B75DA9,fdef0d99-9cad-42f1-8089-9bc442b75da9,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 19:02:05.7650504 +00:00,2021-01-05T19:02:05.7650504+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76118,274864,274864,A5CA2AD2-64C8-4F71-88C8-055590E1BBC8,a5ca2ad2-64c8-4f71-88c8-055590e1bbc8,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-05 18:19:59.3202689 +00:00,2021-01-05T18:19:59.3202689+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76116,274861,274861,FC73BDCC-C9FA-438C-A6E3-FE49DCFD1F18,fc73bdcc-c9fa-438c-a6e3-fe49dcfd1f18,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-05 17:45:01.6490099 +00:00,2021-01-05T17:45:01.6490099+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76114,274858,274858,394CBEFC-917E-4191-A64F-7F023A641E4C,394cbefc-917e-4191-a64f-7f023a641e4c,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-05 17:08:46.3158833 +00:00,2021-01-05T17:08:46.3158833+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76112,274848,274848,009197FC-06A3-443D-A914-9DF3E0888806,009197fc-06a3-443d-a914-9df3e0888806,QUOTETRANSACTION,QUOTETRANSACTION,2021-02-01 12:00:00 +00:00,2021-02-01T12:00:00+00:00,2022-02-01 12:00:00 +00:00,2022-02-01T12:00:00+00:00,2021-01-05 16:59:16.1522588 +00:00,2021-01-05T16:59:16.1522588+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
76110,274843,274843,05909AC8-A00D-4E53-902E-E59984049E4E,05909ac8-a00d-4e53-902e-e59984049e4e,QUOTETRANSACTION,QUOTETRANSACTION,2020-11-01 12:00:00 +00:00,2020-11-01T12:00:00+00:00,2021-11-01 12:00:00 +00:00,2021-11-01T12:00:00+00:00,2021-01-05 16:34:42.2023312 +00:00,2021-01-05T16:34:42.2023312+00:00,Bound,Bound,1,1,null,null,null,null,Test Case Passed
